id,flavor
poppy_seed,Мак. Семена. Они растут на могилах. Ты съел их – теперь ты тоже будешь могилой.
candy_cane,Леденец. Сладкий. Как ложь. Но ложь приятна на вкус – когда она чужая.
candy_cane_sword,Карамельный меч. Он ломается – и ты плачешь. Плач – это слаще.
mint_goobert,Мятная губка. Свежая. Как утро перед смертью.
mint,Мята. Она пахнет. Как чистота. Чистота – это иллюзия.
ghost_plushie,Плюшевый призрак. Он не страшный – он грустный. Как ты.
ghost_badge,Значок призрака. Он светится. В темноте. Ты тоже светишься – когда твой фонарь гаснет.
ghost_goobert,Губка-призрак. Она проходит сквозь пальцы – как время.
brainstealer,Похититель мозгов. Он не ест мозги – он их читает. Твои мысли – его еда.
brain_goobert,Губка-мозг. Она извивается. Как твои ночные кошмары.
brain_cone,Мозговая шишка. Она не болит – она думает. За тебя.
corn,Кукуруза. Жёлтая. Как трусость. Ты боишься – и поэтому ешь её.
corn_goobert,Губка-кукуруза. Она хрустит. Как кости. Как твои кости.
marshmallow,Зефир. Белый. Мягкий. Как прощение. Прощение не даёт насытиться.
marshmallow_on_stick,Зефир на палочке. Ты жжёшь его – и он плавится. Как твоя воля.
golden_toast,Золотой тост. Он хрустит. Как деньги. Деньги тоже хрустят – в пачке.
golden_fish,Золотая рыбка. Она исполняет желания. Но она мёртва. Уже давно.
butter,Масло. Жирное. Скользкое. Как надежда – ускользает.
butter_goobert,Губка-масло. Она тает. Как ты на солнце правды.
pepe,Пепе. Лягушка. Она не смешная – она злая. Как твоя совесть.
frog,Лягушка. Она квакает. Квак – это предупреждение. Ты не слушаешь.
potion_of_healing,Зелье лечения. Оно заживляет раны – но оставляет шрамы. Шрамы – это память.
potion_of_mana,Зелье маны. Выпей – и почувствуешь пустоту. Мана – это пустота.
potion_of_strength,Зелье силы. Сила – это бремя. Ты не готов.
potion_of_agility,Зелье ловкости. Ты быстрее – но мир медленнее. Ты бежишь в никуда.
potion_of_defense,Зелье защиты. Оно делает тебя камнем. Камни не чувствуют.
potion_of_crit,Зелье крита. Оно бьёт точно – в твою слабость.
potion_of_haste,Зелье спешки. Оно ускоряет – но не туда. Ты бежишь в пропасть.
potion_of_burning,Зелье горения. Выпей – и станешь факелом. Ты уже горишь.
potion_of_freezing,Зелье заморозки. Холод – это тишина. Ты станешь тихим.
potion_of_poison,Зелье яда. Яд – это правда. Ты пьёшь её каждый день.
potion_of_light,Зелье света. Свет – это обман. Ты видишь – но не знаешь.
potion_of_darkness,Зелье тьмы. Тьма – это уют. Ты хочешь в неё.
potion_of_sleep,Зелье сна. Сон – это маленькая смерть. Но ты не просыпаешься.
potion_of_awakening,Зелье пробуждения. Ты просыпаешься – и понимаешь, что спал всегда.
potion_of_truth,Зелье правды. Ты выпиваешь – и видишь себя. Ты выплёвываешь.
potion_of_lies,Зелье лжи. Оно сладкое. Ты пьёшь его вечность.
potion_of_courage,Зелье храбрости. Храбрость – это глупость. Ты глуп.
potion_of_fear,Зелье страха. Страх – это честность. Ты честен.
potion_of_glory,Зелье славы. Слава – это дым. Он рассеивается.
potion_of_shame,Зелье стыда. Оно горькое. Ты пьёшь его каждый вечер.
potion_of_regret,Зелье сожаления. Оно тёплое. Как кровь на руках.
potion_of_forgiveness,Зелье прощения. Оно не работает – потому что ты не прощаешь себя.
potion_of_revenge,Зелье мести. Оно острое. Как клык.
potion_of_mercy,Зелье милосердия. Ты даёшь его врагу – и он умирает от стыда.
potion_of_fury,Зелье ярости. Ярость – это топливо. Ты горишь.
potion_of_serenity,Зелье спокойствия. Спокойствие – это смерть. Ты принимаешь её.
potion_of_chaos,Зелье хаоса. Хаос – это порядок. Но ты не понимаешь.
potion_of_order,Зелье порядка. Порядок – это клетка. Ты в ней.
potion_of_life,Зелье жизни. Жизнь – это болезнь. Ты лечишь её.
potion_of_death,Зелье смерти. Смерть – это выход. Ты не выходишь.
potion_of_time,Зелье времени. Время – это песок. Он течёт.
potion_of_space,Зелье пространства. Пространство – это пустота. Ты в ней.
potion_of_dimension,Зелье измерения. Измерение – это сон. Ты спишь.
potion_of_reality,Зелье реальности. Реальность – это глюк. Ты глюк.
potion_of_void,Зелье пустоты. Пустота – это всё. Ты – ничто.
elixir_of_immortality,Эликсир бессмертия. Бессмертие – это проклятие. Ты не умрёшь – и это больно.
elixir_of_eternity,Эликсир вечности. Вечность – это слишком долго. Ты устанешь.
elixir_of_soul,Эликсир души. Душа – это свет. Он гаснет.
elixir_of_spirit,Эликсир духа. Дух – это ветер. Он дует – и уходит.
elixir_of_mana,Эликсир маны. Она переполняет – и ты взрываешься.
elixir_of_health,Эликсир здоровья. Здоровье – это число. Оно уменьшается.
elixir_of_strength,Эликсир силы. Сила – это вес. Ты падаешь.
elixir_of_speed,Эликсир скорости. Скорость – это бегство. Ты бежишь.
elixir_of_wisdom,Эликсир мудрости. Мудрость – это боль. Ты знаешь – и страдаешь.
