id,name,icon,rarity,rarity_label,cost,tags,description,build_hints,flavor,craft_only,is_container
amethyst_whelp,Аметистовый дракончик,🐉💜,godly,Божественный,14,питомец; магия; крафт,В начале боя: +4 случайных стака. При попадании: украсть стак у противника.,"Билд: мана / магия, питомцы · Пары: Mana Orb, Mana Potion, магические посохи","Магия здесь не светится. Она шепчет и портит воздух, как плесень в вентиляции.",,
pineapple,Ананас,🍍,legendary,Легендарный,6,еда; природа,"На 10% быстрее за «еда». Каждые 2.9 сек: +1 удача, лечит на 4 HP.",Билд: еда / Pan · Синергия: стан → Dagger extra attack,"Запах домашний. Но дома давно нет — только эта комната и твой голод, который не утолняется.",,
antitoxin,Антидот,🧴,uncommon,Необычный,3,универсальный; природа; лечение,Лечение 4 HP.,,Инструмент из ящика «на всякий случай». В этом городе «всякий случай» — это каждый день.,,
artifact_stone_heat,Артефактный камень: Жар,🪨🔥,unique,Уникальный,9,аксессуар; огонь,"При попадании: +3 жар. До 1 активаций за бой. При 10+ жар: оружие +8 урона, один раз за бой. Удар 4–6 урона.","Билд: огонь / Pyromancer · Пары: Draconic Orb, Oil Lamp, Flame-крафты","Огонь не освещает. Он показывает то, что стояло в темноте, пока ты отводил взгляд.",,
artifact_stone_death,Артефактный камень: Смерть,💀,unique,Уникальный,8,аксессуар; яд,1 бросок. Урон от усталости при попадании. +7% крит за уровень усталости противника.,"Билд: яд / DoT · Пары: Pestilence Flask, Death Scythe, ядовитые питомцы","Капля на металле расползается медленно — как пятно на стене, которое появляется каждую ночь.",,
artifact_stone_cold,Артефактный камень: Холод,🪨❄️,unique,Уникальный,10,аксессуар; лёд,"При попадании: +3 холод. До 1 активаций за бой. Каждые 5 сек: +1 холод, лечит на 4 HP. Удар 2–4 урона.",Билд: лёд,"Прикосновение ледянее, чем должно быть. Как ручка двери в подвал, которую никто не открывал годами.",,
banana,Банан,🍌,common,Обычный,3,еда; природа,"Каждые 5 сек: лечит на 4 HP, +1 выносливости.",Билд: еда / Pan · Синергия: стан → Dagger extra attack,На вкус как память. Неприятная. Настоящая. Ты всё равно проглотишь.,,
squirrel,Белка,🐿️,rare,Редкий,5,питомец; крафт,На 15% быстрее за «питомцы/еда». Каждые 4 сек: украсть 1 урона у оружия врага.,Билд: питомцы,"Спутник не живой. Он просто ещё не понял, что давно умер — и потому остаётся рядом. Оставлено для тех, кто ещё помнит своё имя — белка не прощает забывчивых.",,
squirrel_archer,Белка-лучник,🐿️🏹,epic,Эпический,9,питомец; дальний; крафт,При попадании: украсть 1 урона. Быстрее на 15% за питомца/еду.,"Билд: Ranger дальний бой, питомцы · Крафт: Squirrel + Bow and Arrow · Пары: Lucky Clover, Acorn Collar, Fortuna-ветка","Спутник не живой. Он просто ещё не понял, что давно умер — и потому остаётся рядом.",да,
bandage,Бинт,🩹,common,Обычный,1,универсальный; еда; лечение,Лечение 3 HP.,,"Запах домашний. Но дома давно нет — только эта комната и твой голод, который не утолняется.",,
